id,strain,littersize,group,sex,TCF7L2,coatcolor,bw2,centerduration,totalactivity,FCtimeofday,d1tone,d2context,d3tone,PPIbox,PPI6,PPIstartle,immobdur,fastglucose,bw3,baseglucose
53488,AKR,6,5B,F,WT,black,22.6,114.7,8564.8,PM,2.24,7.8,64.7,4,50.6,22.1,151.9,53,28.2,124
53489,AKR,6,5B,F,HET,black,22.9,46.9,8267.1,PM,1.79,2.9,53.6,5,65.1,17.2,126.1,47,27.3,137
53490,AKR,6,5B,F,WT,black,21,167.5,8012.4,PM,0.45,3.4,18.8,1,65.9,13.3,103,40,27.2,140
53491,AKR,7,5B,F,WT,black,20.7,130.2,5021.4,PM,3.57,29.2,50,2,53.7,11.9,87.5,45,25.6,117
53492,AKR,7,5B,F,WT,black,20.4,274.3,7671.6,PM,0,6.8,37.1,3,58.7,19.7,124.3,51,26,150
53493,AKR,7,5B,F,HET,black,19.9,19.5,5732,PM,0.9,1.6,78.6,4,41.3,20,100.5,50,24.5,89
53494,AKR,7,5B,F,HET,black,19.3,21,3698.5,PM,0,9.7,73.7,5,55.8,12.9,95.2,71,24,111
53495,AKR,7,5B,F,HET,black,20.3,45.4,3249.2,PM,1.8,28.7,61.2,1,39.8,9.9,38.1,60,26.2,98
53502,B6,11,5B,F,WT,black,15.4,206.2,5164.8,PM,9,4.6,12.5,2,72.9,16.2,160.5,44,18.1,134
53503,B6,11,5B,F,WT,black,16.7,83.3,4720.6,PM,1.35,12.3,28.6,3,66.6,21,143.6,39,19.3,113
53504,B6,11,5B,F,HET,black,14,37.5,10644.1,PM,0.9,20.5,78.1,4,2.6,18,27.6,46,18.1,157
53506,B6,11,5B,F,WT,black,17.1,133.2,4779.1,PM,1.34,4.1,58.9,5,69.2,22.9,127.8,66,19.1,143
53507,129,7,5B,M,WT,agouti,24.8,57.4,4805.1,PM,0.44,21.4,56.7,1,40.3,40,105.2,49,29.8,132
53508,129,7,5B,M,WT,agouti,24.1,127.7,5674.3,PM,1.34,1.4,29,2,53,42.1,192.1,43,33.1,140
53509,129,7,5B,M,HET,agouti,22.1,7.3,2088.8,PM,3.56,7.1,1.3,3,33.8,81.8,163.1,42,26,91
